#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;,,,,,,,,,,
### RELIGIOUS EVENTS ###
# FIRST RAVEN EVENTS #
EVTTITLE_ROBMODNORSE_00041;The Godslaws;Les lois des Dieux;Die Gesetze der Götter;;Las leyes de los dioses;;;;;;;;;x,,,,,,,,,,
EVTTOOLTIP_ROBMODNORSE_00005;[From.GetFullName] is now an Eiðmaðr (Oathsman). Having learnt much in his training he will be a fearsome commander. He has also renounced temporal possessions and taken a vow of celibacy, and will be unable to inherit or take a wife. You may now nominate another suitable candidate from your court to take the trials, if you so wish;[From.GetFullName] est maintenant un Eiðmaðr (homme assermenté). Ayant beaucoup appris dans sa formation, il sera un commandant redoutable. Il a également renoncé aux possessions temporelles et a fait un voeu de célibat et ne pourra hériter ni prendre une femme. Vous pouvez maintenant nommer un autre candidat approprié de votre tribunal pour passer les procès, si vous le souhaitez;[From.GetFullName] ist jetzt ein Eiðmaðr (Eidmann). Nachdem er in seiner Ausbildung viel gelernt hat, wird er ein furchterregender Kommandant sein. Er hat auch auf zeitliche Besitztümer verzichtet und ein Gelübde des Zölibats genommen und wird nicht in der Lage sein, eine Frau zu erben oder zu nehmen. Sie können jetzt einen anderen geeigneten Kandidaten von Ihrem Gericht nominieren, um die Prüfungen zu nehmen, wenn Sie es wünschen;;[From.GetFullName] es ahora un Eiðmaðr (hombre jurado). Habiendo aprendido mucho en su entrenamiento, será un temible comandante. También ha renunciado a las posesiones temporales y ha hecho voto de celibato, y no podrá heredar ni tomar una esposa. Usted puede ahora nominar a otro candidato adecuado de su corte para tomar las pruebas, si así lo desea;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODNORSE_00009;You are saddened to hear that [From.GetTitledName] has died whilst taking the Þorfreista. The Trials of Thor are dangerous indeed...;Vous êtes attristé d'entendre que [From.GetTitledName] est mort tout en prenant le Þorfreista. Les procès de Thor sont dangereux ...;Sie sind traurig zu hören, dass [From.GetTitledName] während der Þorfreista gestorben ist. Die Prüfungen von Thor sind in der Tat gefährlich ...;;Le entristece saber que [From.GetTitledName] ha muerto mientras toma la Þorfreista. Los Juicios de Thor son peligrosos de hecho ...;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00009;Perhaps [From.GetFirstName] was not worthy of Thor's blessing.;Peut-être [From.GetFirstName] n'était pas digne de la bénédiction de Thor.;Vielleicht war [From.GetFirstName] nicht verdient Thors Segen.;;Tal vez [From.GetFirstName] no era digno de la bendición de Thor.;;;;;;;;;x,,,,,,,,,,
EVTTOOLTIP_ROBMODNORSE_00009;You may now nominate another suitable candidate from your court to take the trials, if you so wish;Vous pouvez maintenant nommer un autre candidat approprié de votre tribunal pour passer les procès, si vous le souhaitez;Sie können jetzt einen anderen geeigneten Kandidaten von Ihrem Gericht nominieren, um die Prüfungen zu nehmen, wenn Sie es wünschen;;Usted puede ahora nominar a otro candidato adecuado de su corte para tomar las pruebas, si así lo desea;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODNORSE_00006_01;Your clansman [From.GetFullName] has returned from the Eiðrhöll (Hall of Oaths) bearing an unmistakable brand of failure. Having been unsuccessful in the Trials, he will forevermore be known as Þor-Ómakligr – ‘Unworthy of Thor’. Although the trials are indeed challenging, there is no escaping the fact that this brings shame on the clan.;Votre clan-homme [From.GetFullName] est revenu de l'Eiðrhöll (salle de serments) avec une marque inconnue d'échec. Ayant échoué dans les Essais, il sera pour toujours plus connu sous le nom de Þor-Ómakligr - «Indéniable de Thor». Bien que les procès soient en effet difficiles, il n'y a pas d'échapper au fait que cela cause de la honte au clan.;Ihr Clans-Man [From.GetFullName] ist von der Eiðrhöll (Eidhalle) mit einer unverwechselbaren Marke des Scheiterns zurückgekehrt. Nachdem er in den Prüfungen nicht erfolgreich war, wird er für immer als Þor-Ómakligr - "Unwürdig von Thor" bekannt sein. Obwohl die Prüfungen in der Tat herausfordernd sind, gibt es kein Entkommen der Tatsache, dass dies Schande über den Clan bringt.;;Su clansman [From.GetFullName] ha regresado del Eiðrhöll (Salón de Juramentos) con una marca inconfundible de fracaso. Habiendo sido infructuoso en los juicios, será siempre conocido como Þor-Ómakligr - 'Indigno de Thor'. Aunque los juicios son realmente desafiantes, no hay forma de escapar del hecho de que esto trae vergüenza al clan.;;;;;;;;;x
EVTDESC_ROBMODNORSE_00006_02;Your son [From.GetFirstName] has returned from the Eiðrhöll (Hall of Oaths) bearing an unmistakable brand of failure. Having been unsuccessful in the Trials, he will forevermore be known as Þor-Ómakligr – ‘Unworthy of Thor’. Although the trials are indeed challenging, there is no escaping the fact that this brings shame on your family. An ignominous day for House [Root.GetOnlyDynastyName]...;Votre fils [From.GetFirstName] est revenu de l'Eiðrhöll (salle de serments) portant une marque inconnue d'échec. Ayant échoué dans les Essais, il sera pour toujours plus connu sous le nom de Þor-Ómakligr - «Indéniable de Thor». Bien que les essais soient en effet difficiles, il n'y a pas d'échapper au fait que cela engendre une honte pour votre famille. Une journée ignominante pour House [Root.GetOnlyDynastyName]...;Ihr Sohn [From.GetFirstName] ist von der Eiðrhöll (Eidhalle) mit einer unverwechselbaren Marke des Scheiterns zurückgekehrt. Nachdem er in den Prüfungen nicht erfolgreich war, wird er für immer als Þor-Ómakligr - "Unwürdig von Thor" bekannt sein. Obwohl die Prüfungen in der Tat herausfordernd sind, gibt es kein Entkommen der Tatsache, dass dies Schande über Ihre Familie bringt. Ein schändlicher Tag für Haus [Root.GetOnlyDynastyName]...;;Su hijo [From.GetFirstName] ha regresado del Eiðrhöll (Salón de Juramentos) con una marca inconfundible de fracaso. Habiendo sido infructuoso en los juicios, será siempre conocido como Þor-Ómakligr - 'Indigno de Thor'. Aunque los juicios son realmente desafiantes, no hay forma de escapar el hecho de que esto trae vergüenza a su familia. Un día ignominioso para la casa [Root.GetOnlyDynastyName]...;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00006;I must ensure my next Oathseeker is worthy!;Je dois m'assurer que mon prochain demandeur de serment soit digne!;Ich muss sicherstellen, dass mein nächster Eidesuchender würdig ist!;;¡Debo asegurar que mi siguiente buscador de juramento sea digno!;;;;;;;;;x,,,,,,,,,,
EVTTOOLTIP_ROBMODNORSE_00006;You may now send another suitable candidate from your court to take the trials, but pay careful attention to his martial skills: the trials are a test of valour, and your Oathseeker's attributes and traits will determine whether he is successful or not;Vous pouvez maintenant envoyer un autre candidat approprié de votre tribunal pour passer les procès, mais prêtez une attention particulière à ses compétences martiales: les essais sont un test de valeur et les attributs et les caractéristiques des juges détermineront s'il a réussi ou non;Sie können jetzt einen anderen geeigneten Kandidaten von Ihrem Gericht schicken, um die Prüfungen zu nehmen, aber achten Sie sorgfältig auf seine kriegerischen Fähigkeiten: die Prüfungen sind ein Test der Tapferkeit, und die Trialisten Attribute und Merkmale bestimmen, ob er erfolgreich ist oder nicht;;Ahora puede enviar a otro candidato adecuado de su corte para que tome las pruebas, pero preste mucha atención a sus habilidades marciales: las pruebas son una prueba de valor, y los atributos y rasgos de los ensayistas determinarán si tiene éxito o no;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODNORSE_00010;You are saddened to hear that [From.GetTitledName] has died whilst training to be a Sister of Frigg.;Vous êtes attristé d'entendre que [From.GetTitledName] est mort pendant la formation pour être une soeur de Frigg.;Te entristece saber que [From.GetTitledName] ha muerto mientras te entrenas para ser una Hermana de Frigg.;;Sie sind traurig zu hören, dass [From.GetTitledName] während der Ausbildung gestorben ist, um eine Schwester von Frigg zu sein.;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00010;Seiðr has its dangers...;Seiðr a ses dangers ...;Seiðr hat seine Gefahren ...;;Seiðr tiene sus peligros ...;;;;;;;;;x,,,,,,,,,,
EVTTOOLTIP_ROBMODNORSE_00010;You may now send another lady from your court to train with the Sisters, should there be a suitable candidate;Vous pouvez maintenant envoyer une autre femme de votre cour pour s'entendre avec les soeurs, s'il y a un candidat approprié;Sie können jetzt eine andere Dame von Ihrem Gericht schicken, um mit den Schwestern zu trainieren, sollte es einen geeigneten Kandidaten geben;;Ahora puede enviar a otra señora de su corte a entrenar con las Hermanas, si hay un candidato adecuado;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODNORSE_00007_01;A lady dressed in black and with an air of mystery enters your great hall and bows before you. Removing her veil to speak, you see it is [From.GetFullName], returned from the Frigghöll having completed her training as a Friggjarsnipt (Sister of Frigg). She stands ready to serve the local Goðis, treat the sick and wounded, and maintain your shrines.;Une dame vêtue de noir et avec un air de mystère entre dans votre grande salle et s'incline devant vous. En enlevant son voile pour parler, vous voyez qu'il est [From.GetFullName], est revenu du Frigghöll après avoir complété son entraînement en tant que Friggjarsnipt (Sœur de Frigg). Elle est prête à servir les Goðis locaux, soigner les malades et les blessés, et maintenir vos sanctuaires.;Eine Dame, die in schwarz gekleidet ist und mit einem Murmeltier in deine große Halle eindringt und sich vor dir verbeugt. Wenn du ihren Schleier zum Sprechen ziehst, siehst du, es ist [From.GetFullName], kehrte von der Frigghöll zurück, die ihre Ausbildung als Friggjarsnipt (Schwester von Frigg) abgeschlossen hat. Sie steht bereit, den örtlichen Goðis zu dienen, die Kranken und Verwundeten zu behandeln und deine Schreine zu pflegen.;;Una señora vestida de negro y con un aire de misterio entra en tu gran salón y se inclina ante ti. Quitando su velo para hablar, se ve que es [From.GetFullName], regresó de la Frigghöll habiendo completado su formación como Friggjarsnipt (Hermana de Frigg). Ella está lista para servir a los Goðis locales, para tratar a los enfermos y heridos, y para mantener sus santuarios.;;;;;;;;;x
EVTDESC_ROBMODNORSE_00007_02;A lady dressed in black and with an air of mystery enters your great hall and bows before you. Removing her veil to speak, you see it is your daughter [From.GetFullName], returned from the Frigghöll having completed her training as a Friggjarsnipt (Sister of Frigg). She stands ready to serve the local Goðis, treat the sick and wounded, and maintain your shrines.;Une dame vêtue de noir et avec un air de mystère entre dans votre grande salle et s'incline devant vous. En enlevant son voile pour parler, vous voyez que c'est votre fille [From.GetFullName], est retourné du Frigghöll après avoir complété son entraînement en tant que Friggjarsnipt (Sœur de Frigg). Elle est prête à servir les Goðis locaux, soigner les malades et les blessés, et maintenir vos sanctuaires.;Eine Dame, die in schwarz gekleidet ist und mit einer Luft des Geheimnisses in Ihren großen Saal eintritt und sich vor Ihnen verbeugt. Wenn du ihren Schleier besuchst, um zu sprechen, siehst du, es ist deine Tochter [From.GetFullName], kehrte von der Frigghöll zurück, die ihre Ausbildung als Friggjarsnipt (Schwester von Frigg) abgeschlossen hat. Sie steht bereit, den örtlichen Goðis zu dienen, die Kranken und Verwundeten zu behandeln und deine Schreine zu pflegen.;;Una señora vestida de negro y con un aire de misterio entra en su gran salón y se inclina ante usted. Quitando su velo para hablar, verás que es tu hija [From.GetFullName], regresó de la Frigghöll habiendo completado su entrenamiento como Friggjarsnipt (Hermana de Frigg). Ella está lista para servir a los Goðis locales, para tratar a los enfermos y heridos, y para mantener sus santuarios.;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00007;“Welcome home, Sister [From.GetFirstName]!”;"Bienvenue à la maison, Sœur [From.GetFirstName]!";"Willkommen zu Hause, Schwester [From.GetFirstName]!";;"Bienvenido a casa, hermana [From.GetFirstName]!";;;;;;;;;x,,,,,,,,,,
EVTTOOLTIP_ROBMODNORSE_00007;[From.GetFullName] has mastered the arts of medicine, sorcery and soothsaying, and will likely make a valuable addition to your court, but will be unable to marry or inherit lands. You may now send another lady from your court to train with the Sisters, should there be a suitable candidate;[From.GetFullName] a maîtrisé les arts de la médecine, de la sorcellerie et du repos, et sera probablement un ajout précieux à votre tribunal, mais ne pourra pas se marier ou hériter des terres. Vous pouvez maintenant envoyer une autre femme de votre cour pour s'entendre avec les soeurs, s'il y a un candidat approprié;[From.GetFullName] hat die Künste der Medizin beherrscht, Zauberei und Wahrsagerei, und wird wahrscheinlich eine wertvolle Ergänzung zu Ihrem Gericht, aber wird nicht in der Lage zu heiraten oder erben Land. Sie können jetzt eine andere Dame von Ihrem Gericht schicken, um mit den Schwestern zu trainieren, sollte es einen geeigneten Kandidaten geben;;[From.GetFullName] ha dominado las artes de la medicina, hechicería y adivinación, y probablemente hará una valiosa adición a su corte, pero será incapaz de casarse o heredar tierras. Ahora puede enviar a otra señora de su corte a entrenar con las Hermanas, si hay un candidato adecuado;;;;;;;;;x,,,,,,,,,,
# MONASTERY EVENTS #,,,,,,,,,,
EVTDESC_ROBMODNORSE_00114_01;A group of Oathsmen from a nearby Oaths-Hall have arrived, a fearsome sight in full armour. They offer to join your defence against the followers of the lesser Gods!;Un groupe de Juraments Hommes d'un Jurage-Hall voisin est arrivé, un spectacle redoutable en pleine armure. Ils offrent de rejoindre votre guerre contre les infidèles!;Eine Gruppe von Eidmenschen aus einer nahe gelegenen Eidhalle ist angekommen, ein furchterregender Anblick in voller Rüstung. Sie bieten an, sich dem Krieg gegen die Ungläubigen anzuschließen!;;Un grupo de hombres juramentados de un Juramento-Pasillo cercano ha llegado, una vista temible en armadura llena. ¡Ofrecen unirse a su guerra contra los infieles!;;;;;;;;;x
EVTDESC_ROBMODNORSE_00114_02;[robmod_oathsman.GetFullName] arrives, leading a group of Oathsmen in full armour - a fearsome sight indeed. They offer to join your defence against the followers of the lesser Gods!;Un groupe d'hommes de serment dirigé par [robmod_oathsman.GetFullName], un spectacle redoutable en pleine armure. Ils offrent de rejoindre votre guerre contre les infidèles!;Eine Gruppe von Eidmenschen, die von [robmod_oathsman.GetFullName] geführt wurden, ein furchterregender Anblick in voller Rüstung. Sie bieten an, sich dem Krieg gegen die Ungläubigen anzuschließen!;;Un grupo de hombres juramentados liderados por [robmod_oathsman.GetFullName], un espectáculo temible en armadura completa. ¡Ofrecen unirse a su guerra contra los infieles!;;;;;;;;;x
EVTOPTA_ROBMODNORSE_00114;"Ja líka. At-Valhöll!";"Ja líka. At-Valhöll!";"Ja líka. At-Valhöll!";;"Ja líka. At-Valhöll!";;;;;;;;;x
EVTTOOLTIP_ROBMODNORSE_00114;An army of 1000 brave Oathsmen arrive in your capital province, free of maintenance;Une armée de 1,000 braves jurons arrivent dans votre province capitale, sans entretien;Eine Armee von 1,000 tapferen Eidmännern kommt in deiner Landeshauptstadt, ohne Unterhalt;;Un ejército de 1,000 valientes juramentos llega a su provincia capital, sin mantenimiento;;;;;;;;;x
EVTOPTB_ROBMODNORSE_00114;"Neinn þakka." I can win this war alone.;"Neinn þakka." Je peux gagner cette guerre seule.;"Neinn þakka." Ich kann diesen Krieg allein gewinnen.;;"Neinn þakka." Sólo puedo ganar esta guerra.;;;;;;;;;x
